SimulationID,Type,Cases,BayesCentralOK,ArgumentationOK,BayesCentralBetter,ArgumentationBetter,BothOK,BothWrong
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-timestamp-1381942581221,D,74,48,39,15,6,33,20
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-timestamp-1381942581221,E,21,5,4,2,1,3,15
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-timestamp-1381942581221,F,16,0,1,0,1,0,15
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-timestamp-1381942581221,B,56,0,56,0,56,0,0
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-timestamp-1381942581221,C,70,47,36,21,10,26,13
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-timestamp-1381942581221,H,119,119,119,0,0,119,0
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-timestamp-1381942581221,TOTAL,356,219,255,38,74,181,63
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-timestamp-1381942581221,RATIO-TOTAL,1.0,0.6151685393258427,0.7162921348314607,0.10674157303370786,0.20786516853932585,0.5084269662921348,0.17696629213483145
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-KFold10TRAININNG-timestamp-1381942597227,D,74,34,32,11,9,23,31
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-KFold10TRAININNG-timestamp-1381942597227,E,21,4,5,1,2,3,15
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-KFold10TRAININNG-timestamp-1381942597227,F,16,3,0,3,0,0,13
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-KFold10TRAININNG-timestamp-1381942597227,B,56,3,56,0,53,3,0
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-KFold10TRAININNG-timestamp-1381942597227,C,70,53,46,11,4,42,13
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-KFold10TRAININNG-timestamp-1381942597227,H,119,119,119,0,0,119,0
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-KFold10TRAININNG-timestamp-1381942597227,TOTAL,356,216,258,26,68,190,72
SolarFlareClassificatorScenario-2AgentsHigherHypothesisConflictResolution-0-KFold10TRAININNG-timestamp-1381942597227,RATIO-TOTAL,1.0,0.6067415730337079,0.7247191011235955,0.07303370786516854,0.19101123595505617,0.5337078651685393,0.20224719101123595
